HOG	OG	Gene Tree Parent Clade	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
N3.HOG0000000	OG0000000	n3				HMEL036121g1.t1, HMEL005178g1.t1, HMEL033201g1.t1, HMEL030400g1.t1					
N3.HOG0000001	OG0000000	n10					JC_00059-RA				
N3.HOG0000002	OG0000000	n12				HMEL016962g1.t1, HMEL037595g1.t1, HMEL037596g1.t1					
N3.HOG0000003	OG0000000	n15				HMEL030135g1.t1, HMEL005700g1.t1					
N3.HOG0000004	OG0000000	n22				HMEL037287g1.t1, HMEL036621g1.t1, HMEL031731g1.t1, HMEL031358g1.t1	JC_06702-RA				
N3.HOG0000005	OG0000000	n26				HMEL006377g1.t1, HMEL034894g1.t1, HMEL002383g1.t1	JC_09836-RA				
N3.HOG0000006	OG0000000	n30				HMEL010556g1.t1					XP_026490296.1
N3.HOG0000007	OG0000000	n31				HMEL030138g1.t1, HMEL034983g1.t1					
N3.HOG0000008	OG0000000	n33				HMEL037419g1.t1					
N3.HOG0000009	OG0000000	n34				HMEL030320g1.t1					
N3.HOG0000010	OG0000000	n36				HMEL036355g1.t1, HMEL002805g1.t1, HMEL034319g1.t1					
N3.HOG0000011	OG0000000	n42					JC_14731-RA				XP_026484840.1
N3.HOG0000012	OG0000000	n49				HMEL036333g1.t1					
N3.HOG0000013	OG0000000	n53									XP_026500834.1
N3.HOG0000014	OG0000000	n55									XP_026499971.1
N3.HOG0000015	OG0000000	n60				HMEL032009g1.t1					
N3.HOG0000016	OG0000000	n61				HMEL035117g1.t1, HMEL035735g1.t1					
N3.HOG0000017	OG0000000	n69				HMEL036710g1.t1, HMEL035681g1.t1, HMEL030374g1.t1					
N3.HOG0000018	OG0000000	n72				HMEL033722g1.t1					
