HOG	OG	Gene Tree Parent Clade	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
N7.HOG0000000	OG0000000	n30									XP_026490296.1
N7.HOG0000001	OG0000000	n42									XP_026484840.1
N7.HOG0000002	OG0000000	n53									XP_026500834.1
N7.HOG0000003	OG0000000	n55									XP_026499971.1
N7.HOG0000004	OG0000000	n117									XP_026499445.1
N7.HOG0000005	OG0000000	n156									XP_026485065.1
N7.HOG0000006	OG0000000	n177									XP_026488880.1
N7.HOG0000007	OG0000000	n190									XP_026490098.1
N7.HOG0000008	OG0000000	n195									XP_026494144.1
N7.HOG0000009	OG0000000	n253									XP_026493394.1
N7.HOG0000010	OG0000001	n8									XP_026499446.1, XP_026499842.1, XP_026488483.1, XP_026490168.1
N7.HOG0000011	OG0000001	n13								Vcard_DToL15240-RA	XP_026498239.1
N7.HOG0000012	OG0000001	n14								Vcard_DToL03608-RA	XP_026498877.1, XP_026484140.1
N7.HOG0000013	OG0000002	n1								Vcard_DToL03178-RA, Vcard_DToL17192-RA, Vcard_DToL15627-RA, Vcard_DToL18254-RA	XP_026490714.1
N7.HOG0000014	OG0000002	n28								Vcard_DToL02602-RA, Vcard_DToL10390-RA, Vcard_DToL17277-RA, Vcard_DToL09587-RA, Vcard_DToL15628-RA	
N7.HOG0000015	OG0000002	n76								Vcard_DToL10140-RA, Vcard_DToL15618-RA, Vcard_DToL15764-RA, Vcard_DToL04452-RA	
N7.HOG0000016	OG0000002	n87								Vcard_DToL16862-RA	
N7.HOG0000017	OG0000002	n103								Vcard_DToL17297-RA, Vcard_DToL04360-RA, Vcard_DToL00979-RA, Vcard_DToL02889-RA, Vcard_DToL03203-RA, Vcard_DToL10908-RA	
N7.HOG0000018	OG0000002	n159									XP_026483300.1
N7.HOG0000019	OG0000003	n1								Vcard_DToL07346-RA, Vcard_DToL15598-RA	XP_026493386.1, XP_026496911.1
N7.HOG0000020	OG0000003	n29								Vcard_DToL05329-RA	
N7.HOG0000021	OG0000003	n30								Vcard_DToL16992-RA	
N7.HOG0000022	OG0000003	n31								Vcard_DToL14245-RA	
N7.HOG0000023	OG0000004	n5								Vcard_DToL15634-RA, Vcard_DToL15635-RA	XP_026497789.1
N7.HOG0000024	OG0000004	n13									XP_026497757.1, XP_026497758.1
N7.HOG0000025	OG0000004	n36									XP_026497760.1
N7.HOG0000026	OG0000004	n58								Vcard_DToL15667-RA	
N7.HOG0000027	OG0000004	n63								Vcard_DToL15629-RA	
N7.HOG0000028	OG0000004	n78									XP_026497755.1
N7.HOG0000029	OG0000004	n102								Vcard_DToL15675-RA	XP_026497761.1
N7.HOG0000030	OG0000004	n103								Vcard_DToL15674-RA, Vcard_DToL16321-RA, Vcard_DToL15669-RA, Vcard_DToL15644-RA, Vcard_DToL15631-RA, Vcard_DToL15664-RA, Vcard_DToL15673-RA	XP_026497765.1
N7.HOG0000031	OG0000006	n5								Vcard_DToL12185-RA	XP_026499547.1
N7.HOG0000032	OG0000006	n53									XP_026484138.1
N7.HOG0000033	OG0000006	n57								Vcard_DToL10389-RA	
N7.HOG0000034	OG0000006	n108									XP_026490096.1
N7.HOG0000035	OG0000007	n1								Vcard_DToL07313-RA	XP_026496812.1
N7.HOG0000036	OG0000007	n11									XP_026494722.1
N7.HOG0000037	OG0000007	n20								Vcard_DToL00838-RA, Vcard_DToL00839-RA	XP_026487005.1
N7.HOG0000038	OG0000007	n30								Vcard_DToL16046-RA	XP_026498823.1
N7.HOG0000039	OG0000007	n54									XP_026489574.1
N7.HOG0000040	OG0000007	n79									XP_026487630.1
N7.HOG0000041	OG0000008	n0								Vcard_DToL17096-RA	
N7.HOG0000042	OG0000009	n2								Vcard_DToL17636-RA	XP_026490612.1
N7.HOG0000043	OG0000009	n28									XP_026490614.1
N7.HOG0000044	OG0000009	n34									XP_026490617.1, XP_026490618.1
N7.HOG0000045	OG0000009	n37									XP_026490613.1
N7.HOG0000046	OG0000009	n83								Vcard_DToL17681-RA, Vcard_DToL17679-RA	XP_026490619.1, XP_026490625.1, XP_026490623.1, XP_026490624.1
N7.HOG0000047	OG0000009	n95								Vcard_DToL17673-RA	XP_026490596.1
N7.HOG0000048	OG0000011	n1								Vcard_DToL11283-RA	XP_026500011.1
N7.HOG0000049	OG0000011	n13								Vcard_DToL11246-RA, Vcard_DToL11242-RA	XP_026494591.1
N7.HOG0000050	OG0000011	n21									XP_026494618.1
N7.HOG0000051	OG0000011	n35								Vcard_DToL11230-RA	XP_026494592.1
N7.HOG0000052	OG0000011	n39								Vcard_DToL11231-RA	
N7.HOG0000053	OG0000011	n51									XP_026487937.1
N7.HOG0000054	OG0000011	n62									XP_026487932.1
N7.HOG0000055	OG0000011	n86									XP_026487933.1
N7.HOG0000056	OG0000012	n1								Vcard_DToL10647-RA	
N7.HOG0000057	OG0000012	n18								Vcard_DToL10656-RA	
N7.HOG0000058	OG0000012	n26								Vcard_DToL10653-RA	
N7.HOG0000059	OG0000012	n33								Vcard_DToL10657-RA	
N7.HOG0000060	OG0000012	n42								Vcard_DToL10669-RA	
N7.HOG0000061	OG0000012	n71								Vcard_DToL10661-RA	
N7.HOG0000062	OG0000013	n6								Vcard_DToL17989-RA	
N7.HOG0000063	OG0000013	n7								Vcard_DToL07085-RA, Vcard_DToL16772-RA	
N7.HOG0000064	OG0000013	n30									XP_026498879.1, XP_026496138.1, XP_026497446.1
N7.HOG0000065	OG0000013	n43									XP_026485615.1
N7.HOG0000066	OG0000013	n48									XP_026486010.1, XP_026500024.1, XP_026496137.1, XP_026491790.1
N7.HOG0000067	OG0000013	n77									XP_026491789.1, XP_026492509.1, XP_026492507.1, XP_026491699.1, XP_026492511.1, XP_026492512.1, XP_026487951.1, XP_026487311.1, XP_026487309.1
N7.HOG0000068	OG0000015	n0									XP_026494298.1
N7.HOG0000069	OG0000016	n6									XP_026487868.1
N7.HOG0000070	OG0000016	n39									XP_026494832.1
N7.HOG0000071	OG0000016	n56									XP_026497219.1, XP_026498863.1
N7.HOG0000072	OG0000016	n59								Vcard_DToL05496-RA	
N7.HOG0000073	OG0000017	n41								Vcard_DToL17605-RA, Vcard_DToL00869-RA	
N7.HOG0000074	OG0000018	n10								Vcard_DToL15155-RA, Vcard_DToL15154-RA	XP_026500174.1
N7.HOG0000075	OG0000018	n17								Vcard_DToL00987-RA	
N7.HOG0000076	OG0000018	n30								Vcard_DToL01558-RA, Vcard_DToL01557-RA, Vcard_DToL01556-RA, Vcard_DToL01554-RA	XP_026486406.1
N7.HOG0000077	OG0000018	n43								Vcard_DToL01560-RA	XP_026486403.1
N7.HOG0000078	OG0000018	n49									XP_026501049.1
N7.HOG0000079	OG0000018	n58								Vcard_DToL06831-RA, Vcard_DToL06832-RA, Vcard_DToL06834-RA	XP_026486538.1
N7.HOG0000080	OG0000018	n61								Vcard_DToL00995-RA, Vcard_DToL00994-RA, Vcard_DToL00992-RA	XP_026497909.1
N7.HOG0000081	OG0000018	n64								Vcard_DToL06833-RA, Vcard_DToL00991-RA, Vcard_DToL00989-RA, Vcard_DToL00988-RA	
N7.HOG0000082	OG0000020	n3								Vcard_DToL14232-RA, Vcard_DToL09765-RA, Vcard_DToL10281-RA, Vcard_DToL14473-RA, Vcard_DToL18496-RA, Vcard_DToL06364-RA, Vcard_DToL08293-RA, Vcard_DToL14233-RA, Vcard_DToL10794-RA, Vcard_DToL00803-RA, Vcard_DToL00714-RA, Vcard_DToL16968-RA	
N7.HOG0000083	OG0000020	n75									XP_026499906.1, XP_026498149.1
N7.HOG0000084	OG0000021	n1								Vcard_DToL14989-RA	XP_026499326.1, XP_026498522.1
N7.HOG0000085	OG0000021	n66								Vcard_DToL15926-RA	XP_026500954.1
N7.HOG0000086	OG0000021	n69									XP_026497740.1
N7.HOG0000087	OG0000021	n73								Vcard_DToL14988-RA	
N7.HOG0000088	OG0000022	n1									XP_026484827.1
N7.HOG0000089	OG0000022	n9									XP_026484834.1
N7.HOG0000090	OG0000022	n16									XP_026486487.1
N7.HOG0000091	OG0000022	n22									XP_026483171.1
N7.HOG0000092	OG0000022	n28									XP_026484818.1
N7.HOG0000093	OG0000022	n36									XP_026486002.1
N7.HOG0000094	OG0000022	n55									XP_026489859.1
N7.HOG0000095	OG0000022	n70								Vcard_DToL16722-RA	
N7.HOG0000096	OG0000023	n4								Vcard_DToL04995-RA	
N7.HOG0000097	OG0000023	n13								Vcard_DToL03693-RA, Vcard_DToL00478-RA, Vcard_DToL14663-RA	
N7.HOG0000098	OG0000023	n24								Vcard_DToL09569-RA, Vcard_DToL02591-RA, Vcard_DToL09652-RA, Vcard_DToL12381-RA	
N7.HOG0000099	OG0000023	n31								Vcard_DToL10936-RA, Vcard_DToL12431-RA	
N7.HOG0000100	OG0000023	n34								Vcard_DToL16843-RA, Vcard_DToL12503-RA, Vcard_DToL01875-RA	
N7.HOG0000101	OG0000023	n39								Vcard_DToL09466-RA, Vcard_DToL18021-RA, Vcard_DToL13274-RA, Vcard_DToL08248-RA	
N7.HOG0000102	OG0000023	n48								Vcard_DToL18724-RA, Vcard_DToL17084-RA, Vcard_DToL14140-RA, Vcard_DToL06820-RA, Vcard_DToL08403-RA, Vcard_DToL07174-RA	
N7.HOG0000103	OG0000023	n54								Vcard_DToL12903-RA	
N7.HOG0000104	OG0000023	n55								Vcard_DToL16418-RA, Vcard_DToL02679-RA, Vcard_DToL12373-RA, Vcard_DToL09824-RA	XP_026499323.1
N7.HOG0000105	OG0000023	n59								Vcard_DToL18182-RA, Vcard_DToL01763-RA, Vcard_DToL06732-RA	
N7.HOG0000106	OG0000023	n61								Vcard_DToL09585-RA	XP_026497990.1, XP_026489171.1, XP_026489048.1
N7.HOG0000107	OG0000023	n64								Vcard_DToL12529-RA, Vcard_DToL09838-RA	
N7.HOG0000108	OG0000024	n2								Vcard_DToL09638-RA	
N7.HOG0000109	OG0000024	n28								Vcard_DToL09637-RA, Vcard_DToL09636-RA, Vcard_DToL09641-RA, Vcard_DToL09645-RA, Vcard_DToL09643-RA, Vcard_DToL09633-RA, Vcard_DToL09634-RA, Vcard_DToL09632-RA	
N7.HOG0000110	OG0000024	n42								Vcard_DToL09635-RA	
N7.HOG0000111	OG0000024	n47								Vcard_DToL09639-RA, Vcard_DToL09640-RA, Vcard_DToL09642-RA, Vcard_DToL09644-RA	
N7.HOG0000112	OG0000025	n1									XP_026490610.1
N7.HOG0000113	OG0000025	n48								Vcard_DToL17639-RA	XP_026490605.1
N7.HOG0000114	OG0000025	n49								Vcard_DToL17634-RA	XP_026490616.1
N7.HOG0000115	OG0000025	n67									XP_026490608.1, XP_026490628.1, XP_026490615.1
N7.HOG0000116	OG0000026	n1									XP_026499909.1, XP_026483831.1, XP_026499747.1
N7.HOG0000117	OG0000026	n21								Vcard_DToL15676-RA, Vcard_DToL12606-RA, Vcard_DToL07186-RA, Vcard_DToL16358-RA, Vcard_DToL12673-RA, Vcard_DToL04105-RA, Vcard_DToL15364-RA, Vcard_DToL18640-RA, Vcard_DToL05332-RA, Vcard_DToL04792-RA, Vcard_DToL08128-RA, Vcard_DToL06686-RA, Vcard_DToL15084-RA, Vcard_DToL02966-RA, Vcard_DToL07589-RA, Vcard_DToL15845-RA, Vcard_DToL12864-RA, Vcard_DToL08956-RA, Vcard_DToL13123-RA, Vcard_DToL12475-RA, Vcard_DToL06179-RA, Vcard_DToL15950-RA, Vcard_DToL05426-RA, Vcard_DToL08399-RA, Vcard_DToL17911-RA, Vcard_DToL06368-RA	
N7.HOG0000118	OG0000028	n8								Vcard_DToL13059-RA, Vcard_DToL13042-RA, Vcard_DToL13043-RA	XP_026495729.1
N7.HOG0000119	OG0000028	n32									XP_026495795.1
N7.HOG0000120	OG0000028	n60								Vcard_DToL18861-RA	XP_026498861.1
N7.HOG0000121	OG0000029	n3									XP_026490764.1
N7.HOG0000122	OG0000029	n10								Vcard_DToL08165-RA, Vcard_DToL08166-RA	
N7.HOG0000123	OG0000029	n28								Vcard_DToL03093-RA	
N7.HOG0000124	OG0000029	n30								Vcard_DToL02452-RA, Vcard_DToL02448-RA, Vcard_DToL02468-RA, Vcard_DToL08161-RA	
N7.HOG0000125	OG0000029	n41									XP_026490766.1
N7.HOG0000126	OG0000029	n43								Vcard_DToL02471-RA	XP_026485191.1, XP_026485189.1
N7.HOG0000127	OG0000029	n54								Vcard_DToL02470-RA	XP_026485194.1, XP_026485192.1
N7.HOG0000128	OG0000031	n1								Vcard_DToL09360-RA	XP_026499704.1, XP_026499703.1
