HOG	OG	Gene Tree Parent Clade	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
N1.HOG0000000	OG0000000	n3				HMEL036121g1.t1, HMEL005178g1.t1, HMEL033201g1.t1, HMEL030400g1.t1					
N1.HOG0000001	OG0000000	n10	Bany_10957-RA				JC_00059-RA				
N1.HOG0000002	OG0000000	n12				HMEL016962g1.t1, HMEL037595g1.t1, HMEL037596g1.t1					
N1.HOG0000003	OG0000000	n15	Bany_10989-RA, Bany_11431-RA			HMEL030135g1.t1, HMEL005700g1.t1		XP_034833605.1	XP_039751997.1		
N1.HOG0000004	OG0000000	n20	Bany_09337-RA			HMEL037287g1.t1, HMEL036621g1.t1, HMEL031731g1.t1, HMEL031358g1.t1, HMEL006377g1.t1, HMEL034894g1.t1, HMEL002383g1.t1	JC_06702-RA, JC_09836-RA				
N1.HOG0000005	OG0000000	n29	Bany_18012-RA					XP_034832243.1			
N1.HOG0000006	OG0000000	n30				HMEL010556g1.t1					XP_026490296.1
N1.HOG0000007	OG0000000	n31				HMEL030138g1.t1, HMEL034983g1.t1					
N1.HOG0000008	OG0000000	n33				HMEL037419g1.t1					
N1.HOG0000009	OG0000000	n34				HMEL030320g1.t1					
N1.HOG0000010	OG0000000	n36				HMEL036355g1.t1, HMEL002805g1.t1, HMEL034319g1.t1					
N1.HOG0000011	OG0000000	n40	Bany_12835-RA, Bany_00348-RA								
N1.HOG0000012	OG0000000	n42	Bany_18013-RA, Bany_07827-RA, Bany_05718-RA, Bany_05732-RA				JC_14731-RA	XP_034839969.1			XP_026484840.1
N1.HOG0000013	OG0000000	n49	Bany_08400-RA			HMEL036333g1.t1					
N1.HOG0000014	OG0000000	n53	Bany_07062-RA, Bany_07743-RA								XP_026500834.1
N1.HOG0000015	OG0000000	n55	Bany_10007-RA								XP_026499971.1
N1.HOG0000016	OG0000000	n60	Bany_09799-RA			HMEL032009g1.t1					
N1.HOG0000017	OG0000000	n61	Bany_06551-RA, Bany_14763-RA			HMEL035117g1.t1, HMEL035735g1.t1					
N1.HOG0000018	OG0000000	n69	Bany_05444-RA			HMEL036710g1.t1, HMEL035681g1.t1, HMEL030374g1.t1					
N1.HOG0000019	OG0000000	n72	Bany_11260-RA			HMEL033722g1.t1					
N1.HOG0000020	OG0000000	n76	Bany_12392-RA			HMEL033990g1.t1, HMEL030434g1.t1, HMEL032742g1.t1, HMEL036172g1.t1, HMEL030411g1.t1, HMEL031169g1.t1, HMEL035346g1.t1, HMEL033523g1.t1, HMEL033521g1.t1, HMEL030389g1.t1, HMEL031224g1.t1, HMEL032816g1.t1, HMEL037023g1.t1, HMEL037566g1.t1, HMEL034626g1.t1, HMEL033554g1.t1, HMEL033601g1.t1, HMEL034957g1.t1, HMEL032583g1.t1, HMEL034860g1.t1, HMEL034482g1.t1					
N1.HOG0000021	OG0000000	n97	Bany_10374-RA, Bany_08919-RA, Bany_09274-RA			HMEL031378g1.t1					
N1.HOG0000022	OG0000000	n100	Bany_04291-RA, Bany_00350-RA, Bany_05622-RA, Bany_10641-RA, Bany_06111-RA, Bany_12035-RA, Bany_10617-RA, Bany_10756-RA, Bany_12415-RA, Bany_02606-RA, Bany_10051-RA, Bany_12992-RA, Bany_04852-RA, Bany_05251-RA			HMEL015405g1.t1, HMEL032483g1.t1					
N1.HOG0000023	OG0000000	n116	Bany_10349-RA, Bany_10489-RA								
N1.HOG0000024	OG0000000	n117	Bany_06480-RA, Bany_08378-RA, Bany_07342-RA, Bany_06481-RA, Bany_11220-RA, Bany_00737-RA		HEL_012692-RA	HMEL037576g1.t1, HMEL012790g1.t1					XP_026499445.1
N1.HOG0000025	OG0000000	n129	Bany_06307-RA, Bany_01154-RA, Bany_16364-RA			HMEL003177g1.t1	JC_02930-RA				
N1.HOG0000026	OG0000000	n133	Bany_12573-RA, Bany_00640-RA			HMEL016638g1.t1					
N1.HOG0000027	OG0000000	n138	Bany_13893-RA			HMEL037925g1.t1					
N1.HOG0000028	OG0000000	n140	Bany_16096-RA			HMEL033278g1.t1					
N1.HOG0000029	OG0000000	n151	Bany_04338-RA, Bany_16664-RA, Bany_07526-RA, Bany_17856-RA								
N1.HOG0000030	OG0000000	n156	Bany_17531-RA, Bany_09873-RA, Bany_17433-RA, Bany_12973-RA			HMEL033098g1.t1, HMEL034447g1.t1, HMEL005747g1.t1, HMEL032660g1.t1, HMEL031677g1.t1, HMEL033638g1.t1		XP_034830096.1			XP_026485065.1
