HOG	OG	Gene Tree Parent Clade	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
N4.HOG0000000	OG0000000	n15						XP_034833605.1	XP_039751997.1		
N4.HOG0000001	OG0000000	n29						XP_034832243.1			
N4.HOG0000002	OG0000000	n42						XP_034839969.1			
N4.HOG0000003	OG0000000	n156						XP_034830096.1			
N4.HOG0000004	OG0000000	n190							XP_039764486.1		
N4.HOG0000005	OG0000000	n195						XP_034837767.1			
N4.HOG0000006	OG0000000	n253							XP_039759598.1		
N4.HOG0000007	OG0000001	n1						XP_034840840.1			
N4.HOG0000008	OG0000001	n106						XP_034838060.1			
N4.HOG0000009	OG0000001	n114							XP_039755304.1		
N4.HOG0000010	OG0000002	n3							XP_039749168.1, XP_039749231.1, XP_039752022.1, XP_039764502.1, XP_039747070.1, XP_039753757.1		
N4.HOG0000011	OG0000002	n10							XP_039763478.1, XP_039764272.1		
N4.HOG0000012	OG0000002	n66							XP_039749643.1, XP_039755482.1, XP_039756937.1		
N4.HOG0000013	OG0000002	n141						XP_034832765.1	XP_039763065.1, XP_039747912.1		
N4.HOG0000014	OG0000002	n162							XP_039753711.1		
N4.HOG0000015	OG0000002	n163							XP_039761423.1, XP_039761888.1, XP_039760354.1		
N4.HOG0000016	OG0000003	n12							XP_039762686.1, XP_039764155.1, XP_039760787.1, XP_039758268.1, XP_039758025.1, XP_039765337.1		
N4.HOG0000017	OG0000003	n19							XP_039760410.1, XP_039750824.1, XP_039748082.1, XP_039764518.1, XP_039760412.1, XP_039755221.1		
N4.HOG0000018	OG0000004	n14						XP_034826574.1	XP_039757795.1		
N4.HOG0000019	OG0000004	n16						XP_034826575.1			
N4.HOG0000020	OG0000004	n29						XP_034826576.1, XP_034829861.1, XP_034826577.1			
N4.HOG0000021	OG0000004	n35						XP_034825904.1			
N4.HOG0000022	OG0000004	n45						XP_034826589.1, XP_034825964.1	XP_039758007.1		
N4.HOG0000023	OG0000004	n58						XP_034826579.1			
N4.HOG0000024	OG0000004	n64						XP_034826233.1	XP_039765531.1		
N4.HOG0000025	OG0000004	n69						XP_034826572.1, XP_034825836.1	XP_039746222.1, XP_039746211.1		
N4.HOG0000026	OG0000004	n73						XP_034826578.1	XP_039765606.1		
N4.HOG0000027	OG0000006	n0						XP_034828886.1			
N4.HOG0000028	OG0000007	n1						XP_034829843.1	XP_039749697.1		
N4.HOG0000029	OG0000007	n10						XP_034833027.1	XP_039761305.1		
N4.HOG0000030	OG0000007	n20							XP_039754496.1		
N4.HOG0000031	OG0000007	n30						XP_034837123.1, XP_034837198.1	XP_039760528.1		
N4.HOG0000032	OG0000007	n44						XP_034837239.1, XP_034837071.1			
N4.HOG0000033	OG0000007	n50						XP_034837070.1	XP_039760566.1		
N4.HOG0000034	OG0000007	n54						XP_034837172.1	XP_039760400.1		
N4.HOG0000035	OG0000007	n66						XP_034840218.1			
N4.HOG0000036	OG0000007	n67						XP_034838053.1	XP_039762034.1		
N4.HOG0000037	OG0000007	n82						XP_034840808.1	XP_039764480.1		
N4.HOG0000038	OG0000007	n84							XP_039764478.1		
N4.HOG0000039	OG0000009	n7						XP_034838508.1	XP_039747517.1		
N4.HOG0000040	OG0000009	n8						XP_034838400.1	XP_039748386.1		
N4.HOG0000041	OG0000009	n9						XP_034838501.1, XP_034838500.1	XP_039747521.1, XP_039747518.1, XP_039747964.1		
N4.HOG0000042	OG0000009	n17						XP_034838399.1, XP_034838398.1	XP_039748430.1, XP_039748472.1		
N4.HOG0000043	OG0000009	n41						XP_034838668.1, XP_034838673.1, XP_034838674.1, XP_034838675.1, XP_034838665.1, XP_034838671.1, XP_034838672.1, XP_034838385.1	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1		
N4.HOG0000044	OG0000010	n46						XP_034837882.1	XP_039761849.1, XP_039764336.1, XP_039764298.1, XP_039762014.1		
