HOG	OG	Gene Tree Parent Clade	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
N2.HOG0000000	OG0000000	n10	Bany_10957-RA								
N2.HOG0000001	OG0000000	n15	Bany_10989-RA, Bany_11431-RA					XP_034833605.1	XP_039751997.1		
N2.HOG0000002	OG0000000	n20	Bany_09337-RA								
N2.HOG0000003	OG0000000	n29	Bany_18012-RA					XP_034832243.1			
N2.HOG0000004	OG0000000	n40	Bany_12835-RA, Bany_00348-RA								
N2.HOG0000005	OG0000000	n42	Bany_18013-RA, Bany_07827-RA, Bany_05718-RA, Bany_05732-RA					XP_034839969.1			
N2.HOG0000006	OG0000000	n49	Bany_08400-RA								
N2.HOG0000007	OG0000000	n53	Bany_07062-RA, Bany_07743-RA								
N2.HOG0000008	OG0000000	n55	Bany_10007-RA								
N2.HOG0000009	OG0000000	n60	Bany_09799-RA								
N2.HOG0000010	OG0000000	n61	Bany_06551-RA, Bany_14763-RA								
N2.HOG0000011	OG0000000	n69	Bany_05444-RA								
N2.HOG0000012	OG0000000	n72	Bany_11260-RA								
N2.HOG0000013	OG0000000	n76	Bany_12392-RA								
N2.HOG0000014	OG0000000	n97	Bany_10374-RA, Bany_08919-RA, Bany_09274-RA								
N2.HOG0000015	OG0000000	n100	Bany_04291-RA, Bany_00350-RA, Bany_05622-RA, Bany_10641-RA, Bany_06111-RA, Bany_12035-RA, Bany_10617-RA, Bany_10756-RA, Bany_12415-RA, Bany_02606-RA, Bany_10051-RA, Bany_12992-RA, Bany_04852-RA, Bany_05251-RA								
N2.HOG0000016	OG0000000	n116	Bany_10349-RA, Bany_10489-RA								
N2.HOG0000017	OG0000000	n117	Bany_06480-RA, Bany_08378-RA, Bany_07342-RA, Bany_06481-RA, Bany_11220-RA, Bany_00737-RA								
N2.HOG0000018	OG0000000	n129	Bany_06307-RA, Bany_01154-RA, Bany_16364-RA								
N2.HOG0000019	OG0000000	n133	Bany_12573-RA, Bany_00640-RA								
N2.HOG0000020	OG0000000	n138	Bany_13893-RA								
N2.HOG0000021	OG0000000	n140	Bany_16096-RA								
N2.HOG0000022	OG0000000	n151	Bany_04338-RA, Bany_16664-RA, Bany_07526-RA, Bany_17856-RA								
N2.HOG0000023	OG0000000	n156	Bany_17531-RA, Bany_09873-RA, Bany_17433-RA, Bany_12973-RA					XP_034830096.1			
N2.HOG0000024	OG0000000	n172	Bany_07320-RA								
N2.HOG0000025	OG0000000	n174	Bany_08379-RA								
N2.HOG0000026	OG0000000	n176	Bany_12839-RA, Bany_00630-RA								
N2.HOG0000027	OG0000000	n177	Bany_15840-RA, Bany_12026-RA								
N2.HOG0000028	OG0000000	n180	Bany_04366-RA, Bany_13150-RA								
N2.HOG0000029	OG0000000	n181	Bany_09626-RA, Bany_03068-RA, Bany_16382-RA								
N2.HOG0000030	OG0000000	n185	Bany_13428-RA, Bany_17806-RA								
N2.HOG0000031	OG0000000	n190	Bany_13444-RA, Bany_02521-RA						XP_039764486.1		
N2.HOG0000032	OG0000000	n195	Bany_12885-RA					XP_034837767.1			
N2.HOG0000033	OG0000000	n217	Bany_09856-RA, Bany_09439-RA, Bany_07392-RA, Bany_03616-RA, Bany_12761-RA, Bany_00045-RA, Bany_13584-RA								
N2.HOG0000034	OG0000000	n225	Bany_12351-RA, Bany_13990-RA, Bany_17561-RA, Bany_07205-RA								
N2.HOG0000035	OG0000000	n241	Bany_05506-RA								
N2.HOG0000036	OG0000000	n248	Bany_03267-RA								
N2.HOG0000037	OG0000000	n249	Bany_17740-RA, Bany_05667-RA								
N2.HOG0000038	OG0000000	n251	Bany_13005-RA, Bany_13853-RA								
N2.HOG0000039	OG0000000	n253	Bany_08916-RA						XP_039759598.1		
N2.HOG0000040	OG0000001	n1	Bany_13515-RA					XP_034840840.1			
N2.HOG0000041	OG0000001	n106						XP_034838060.1			
N2.HOG0000042	OG0000001	n114							XP_039755304.1		
N2.HOG0000043	OG0000001	n196	Bany_13198-RA								
N2.HOG0000044	OG0000002	n3	Bany_05116-RA, Bany_03179-RA						XP_039749168.1, XP_039749231.1, XP_039752022.1, XP_039764502.1, XP_039747070.1, XP_039753757.1		
N2.HOG0000045	OG0000002	n10	Bany_13153-RA, Bany_05863-RA, Bany_08981-RA						XP_039763478.1, XP_039764272.1		
N2.HOG0000046	OG0000002	n23	Bany_06368-RA, Bany_00732-RA								
N2.HOG0000047	OG0000002	n28	Bany_04889-RA								
N2.HOG0000048	OG0000002	n52	Bany_12916-RA								
N2.HOG0000049	OG0000002	n53	Bany_13903-RA, Bany_08398-RA								
N2.HOG0000050	OG0000002	n63	Bany_07688-RA								
N2.HOG0000051	OG0000002	n65	Bany_12917-RA								
N2.HOG0000052	OG0000002	n66	Bany_16810-RA, Bany_07918-RA, Bany_09867-RA, Bany_07916-RA						XP_039749643.1, XP_039755482.1, XP_039756937.1		
N2.HOG0000053	OG0000002	n141	Bany_13333-RA, Bany_02352-RA					XP_034832765.1	XP_039763065.1, XP_039747912.1		
N2.HOG0000054	OG0000002	n162	Bany_06561-RA						XP_039753711.1		
N2.HOG0000055	OG0000002	n163	Bany_16605-RA, Bany_03401-RA, Bany_18056-RA, Bany_10840-RA						XP_039761423.1, XP_039761888.1, XP_039760354.1		
N2.HOG0000056	OG0000003	n12							XP_039762686.1, XP_039764155.1, XP_039760787.1, XP_039758268.1, XP_039758025.1, XP_039765337.1		
N2.HOG0000057	OG0000003	n19	Bany_16601-RA						XP_039760410.1, XP_039750824.1, XP_039748082.1, XP_039764518.1, XP_039760412.1, XP_039755221.1		
N2.HOG0000058	OG0000004	n14	Bany_02377-RA					XP_034826574.1	XP_039757795.1		
N2.HOG0000059	OG0000004	n16	Bany_01306-RA					XP_034826575.1			
N2.HOG0000060	OG0000004	n29						XP_034826576.1, XP_034829861.1, XP_034826577.1			
N2.HOG0000061	OG0000004	n35						XP_034825904.1			
N2.HOG0000062	OG0000004	n45	Bany_02384-RA, Bany_02383-RA, Bany_02385-RA					XP_034826589.1, XP_034825964.1	XP_039758007.1		
N2.HOG0000063	OG0000004	n58						XP_034826579.1			
N2.HOG0000064	OG0000004	n64						XP_034826233.1	XP_039765531.1		
N2.HOG0000065	OG0000004	n69	Bany_02376-RA					XP_034826572.1, XP_034825836.1	XP_039746222.1, XP_039746211.1		
N2.HOG0000066	OG0000004	n73						XP_034826578.1	XP_039765606.1		
N2.HOG0000067	OG0000005	n27	Bany_02782-RA								
N2.HOG0000068	OG0000005	n34	Bany_16371-RA								
N2.HOG0000069	OG0000005	n40	Bany_04515-RA								
N2.HOG0000070	OG0000005	n41	Bany_13174-RA								
N2.HOG0000071	OG0000006	n0	Bany_07769-RA, Bany_12743-RA					XP_034828886.1			
N2.HOG0000072	OG0000007	n1	Bany_12085-RA					XP_034829843.1	XP_039749697.1		
N2.HOG0000073	OG0000007	n10	Bany_05169-RA					XP_034833027.1	XP_039761305.1		
